id;coefficient_matiere;coefficient_tp;coefficient_dc;coefficient_exem;designation;nom
1;55302;62385;10307;28803;Representative navigating Gorgeous Granite Salad;Practical Metal Bacon Bahraini Dinar
2;54218;35514;48267;48226;Naira;Small Metal Shoes Personal Loan Account Avon
3;65337;55171;30886;99650;Investor Papua New Guinea Knoll;card haptic Avon
4;90568;80779;49008;11782;Balanced Tools;niches Usability Legacy
5;77669;76335;7399;57291;Liaison;intangible bandwidth
6;61982;82058;64474;88928;Marketing model Designer;auxiliary Cotton
7;47516;34522;43451;7978;quantifying Concrete Illinois;connect
8;90280;42128;55425;90600;open-source;transmitting cross-platform Forges
9;46141;82927;6999;12616;sticky back-end;reboot
10;12956;89761;99188;96775;Books;mobile Planner
